,survey_id,age_type,survey_type,wave,problem_id
0,1,big,parent,3,1
1,1,big,parent,3,2
2,1,big,parent,3,3
3,1,big,parent,3,4
4,1,big,parent,3,5
5,1,big,parent,3,6
6,1,big,parent,3,7
7,1,big,parent,3,8
8,1,big,parent,3,9
9,1,big,parent,3,10
10,1,big,parent,3,11
11,1,big,parent,3,12
12,1,big,parent,3,13
13,1,big,parent,3,14
14,1,big,parent,3,15
15,1,big,parent,3,16
16,1,big,parent,3,17
17,1,big,parent,3,18
18,1,big,parent,3,19
19,1,big,parent,3,20
20,1,big,parent,3,21
21,1,big,parent,3,22
22,1,big,parent,3,23
23,1,big,parent,3,24
24,1,big,parent,3,25
25,1,big,parent,3,26
26,1,big,parent,3,27
27,1,big,parent,3,28
28,1,big,parent,3,29
29,1,big,parent,3,30
30,1,big,parent,3,31
31,1,big,parent,3,32
32,1,big,parent,3,33
33,1,big,parent,3,34
34,1,big,parent,3,35
35,1,big,parent,3,36
36,1,big,parent,3,37
37,1,big,parent,3,38
38,1,big,parent,3,39
39,1,big,parent,3,40
40,1,big,parent,3,41
41,1,big,parent,3,42
42,1,big,parent,3,43
43,1,big,parent,3,44
44,1,big,parent,3,45
45,1,big,parent,3,46
46,1,big,parent,3,47
47,1,big,parent,3,48
48,1,big,parent,3,49
49,1,big,parent,3,50
50,1,big,parent,3,51
51,1,big,parent,3,52
52,1,big,parent,3,53
53,1,big,parent,3,54
54,1,big,parent,3,55
55,1,big,parent,3,56
56,1,big,parent,3,57
57,1,big,parent,3,58
58,1,big,parent,3,59
59,1,big,parent,3,60
60,1,big,parent,3,61
61,1,big,parent,3,62
62,1,big,parent,3,63
63,1,big,parent,3,64
64,1,big,parent,3,65
65,1,big,parent,3,66
66,1,big,parent,3,67
67,1,big,parent,3,68
68,1,big,parent,3,69
69,1,big,parent,3,70
70,1,big,parent,3,71
71,1,big,parent,3,72
72,1,big,parent,3,73
73,1,big,parent,3,74
74,1,big,parent,3,75
75,1,big,parent,3,76
76,1,big,parent,3,77
77,1,big,parent,3,78
78,1,big,parent,3,79
79,1,big,parent,3,80
80,1,big,parent,3,81
81,1,big,parent,3,82
82,1,big,parent,3,83
83,1,big,parent,3,84
84,1,big,parent,3,85
85,1,big,parent,3,86
86,1,big,parent,3,87
87,1,big,parent,3,88
88,1,big,parent,3,89
89,1,big,parent,3,90
90,1,big,parent,3,91
91,1,big,parent,3,92
92,1,big,parent,3,93
93,1,big,parent,3,94
