problem_id,problem_name,topic,class
,baby_id,幼兒編號,
,interviewer_id,訪員系統編號,
,baby_dob,幼兒生日,
,int_date,完訪日期,
,baby_sex,幼兒性別,
,relationship,受訪者與幼兒關係,
,pfc01,一.1.您是民國__年出生的,
,pfc0202,一.2.1.您及配偶的教育程度是：男方,
,pfc0201,一.2.2.您及配偶的教育程度是：女方,
,pfc03,一.3.您的原國籍,
,pfc0301,一.3.1.您的原國籍(5)東南亞國籍為,
,pfc0301a,一.3.1.您的原國籍(5)東南亞國籍為其他東南亞國家(請說明),
,pfc0302,一.3.2.您的原國籍(6)其他亞洲國家國籍為,
,pfc0302a,一.3.2.您的原國籍(6)其他亞洲國家國籍為其他(請說明),
,pfc03a,一.3.您的原國籍(7)其他國家(請說明),
,pfc0303,一.3.3.您在台灣居住的時間約__年,
,pfc030401,一.3.4.1.您中文的聽說讀寫能力如何?聽,
,pfc030402,一.3.4.2.您中文的聽說讀寫能力如何?說,
,pfc030403,一.3.4.3.您中文的聽說讀寫能力如何?讀,
,pfc030404,一.3.4.4.您中文的聽說讀寫能力如何?寫,
,pfc04,一.4.您的婚姻狀況,
,pfc04a,一.4.您的婚姻狀況：其他(請說明),
,pfc05,一.5.您及配偶有吸菸的習慣嗎?,
,pfc06,一.6.您及配偶每星期有喝醉酒嗎?,
,pfc0701,一.7.1.您及配偶的工作狀況：男方,
,pfc0702,一.7.2.您及配偶的工作狀況：女方,
,pfc08,一.8.您每週照顧這孩子__小時,
,pfc09,一.9.您最常說的語言是,
,pfc09a,一.9.您最常說的語言是：其他(請說明),
,pfc10,一.10.您是否上過126小時的保母專業訓練課程?,
,pfc1101,一.11.1.過去3個月，您及配偶是否會感覺悲傷、憂鬱、憂愁、不快樂?男方,
,pfc1102,一.11.2.過去3個月，您及配偶是否會感覺悲傷、憂鬱、憂愁、不快樂?女方,
,famc01,一.1.我帶這孩子拜訪親友或請親友到家裡來玩,
,famc02,一.2.我帶這孩子到住家外面看看玩玩(例如：公園、市場、廟口),
,famevic01,一.3.我帶這孩子去書店或圖書館,
,famc03,一.4.我讓這孩子玩按壓、抓取、踢腿、推、拉的物品(例如：球類、學步車),
,famc04,一.5.我讓這孩子玩抱枕、絨布玩具或家家酒的物品,
,famc05,一.6.我讓這孩子玩訓練手眼協調的物品(例如：套套杯、拼圖、軟性積木等),
,famc06,一.7.我讓這孩子玩認識顏色、形狀、大小、數字的物品,
,famc07,一.8.我讓孩子玩操作性的物品(例如：積木、麵糰、黏土、串珠、畫圖工具、雪花片、拼圖等),
,famc08,一.9.有適合孩子參與的活動時，我會和這孩子一起參加(例如：親子共遊活動),
,famc09,一.10.我教導這孩子學習各種物品的名稱,
,famc10,一.11.我教這孩子說「請」、「謝謝」、「對不起」,
,famc11,一.12.我讓這孩子學習空間概念(例如：上下、左右、前後),
,famc12,一.13.我讓這孩子學習認識數字,
,famc13,一.14.我讓這孩子學習認識國字,
,famevic02,一.15.我讓這孩子認識注音符號,
,famevic03,一.16.我播放或唱童謠兒歌給這孩子聽,
,famevic04,一.17.我播放有聲書給這孩子聽,
,famevic05,一.18.我用適當的說話速度和語調與這孩子說話,
,famevic06,一.19.與孩子說話時，我會把他的話多加幾個字或引導他多說一些,
,famevic07,一.20.我會和這孩子聊發生過的事(例如：帶孩子出去玩或孩子第一次自己穿衣服的事),
,famc14,一.21.這孩子出聲或說話時，我會說話回應,
,famc15,一.22.我親親或抱抱這孩子,
,famc16,一.23.我做事的時候，也會和這孩子說話,
,famc17,一.24.當孩子不聽話時，我責罵這孩子,
,famc18,一.25.必要時，我用限制這孩子的行動來管教他(例如：罰站、不准玩玩具),
,famc19,一.26.當這孩子行為失控時，我打孩子,
,famc20,一.27.我保持這孩子的生活環境乾淨整齊(主要照顧者回答),
,famc21,一.27.我保持這孩子的生活環境乾淨整齊(訪員需要觀察的題目),
,famevia01,一.28.我餵這孩子時，會看著他,
,famevia02,一.29.我餵這孩子時，會讓他看電視/電腦或玩平板/手機,
,famevia03,一.30.我在餵奶時，會抱著這孩子,
,famevic08,一.31.家中適合這個孩子年齡的書有幾本(包含購買、他人贈送、借閱)?,
,famevic09,一.32.您唸書給孩子聽的次數?,
,famevic10,一.33.您平均每次唸多少時間的書給這孩子聽?,
,famevic1101,一.34.這孩子會使用或玩到哪些電子產品?(複選)(1)智慧型手機,
,famevic1102,一.34.這孩子會使用或玩到哪些電子產品?(複選)(2)平板電腦,
,famevic1103,一.34.這孩子會使用或玩到哪些電子產品?(複選)(3)桌上型電腦,
,famevic1104,一.34.這孩子會使用或玩到哪些電子產品?(複選)(4)筆記型電腦,
,famevic1105,一.34.這孩子會使用或玩到哪些電子產品?(複選)(5)電視遊樂器(例如：Wii、Xbox),
,famevic1106,一.34.這孩子會使用或玩到哪些電子產品?(複選)(6)電視(包含各類影音媒體，例如：DVD、VCD),
,famevic1107,一.34.這孩子會使用或玩到哪些電子產品?(複選)(7)從未使用或玩過以上這些產品(選此選項者不可選其他選項),
,famevic1108,一.34.這孩子會使用或玩到哪些電子產品?(複選)拒答,
,famevic1109,一.34.這孩子會使用或玩到哪些電子產品?(複選)不知道,
,famevic1201,一.35.1.這孩子平均每天看多久電視(含各類影音媒體)?,
,famevic1202,一.35.2.除了電視，這孩子平均每天接觸多久電子產品(例如：電腦、平板、手機)?,
,famevic1301,一.36.1.這孩子醒著時，您平日平均每天花多少時間和這孩子相處互動(例如：遊戲、共讀、吃飯、講話等),
,famevic1302,一.36.2.這孩子醒著時，您假日平均每天花多少時間和這孩子相處互動(例如：遊戲、共讀、吃飯、講話等),
,famevic14,一.37.您覺得在家中幫您做家事或照顧孩子的人手足夠嗎?,
,famevic16,一.38.孩子住家是否有室外空間(例如：院子或公用設施)能讓這孩子活動?,
,famevic1601,一.38.1.孩子住家的室外空間有哪些場地或活動設施?(複選)(1)可讓孩子抓握(攀爬或懸吊)的器材,
,famevic1602,一.38.1.孩子住家的室外空間有哪些場地或活動設施?(複選)(2)樓梯(至少有兩階),
,famevic1603,一.38.1.孩子住家的室外空間有哪些場地或活動設施?(複選)(3)可爬上爬下的器材或平台(至少20公分高),
,famevic1604,一.38.1.孩子住家的室外空間有哪些場地或活動設施?(複選)(4)不同角度的斜坡或斜面,
,famevic1605,一.38.1.孩子住家的室外空間有哪些場地或活動設施?(複選)(5)其他,
,famevic1605a,一.38.1.孩子住家的室外空間有哪些場地或活動設施?(複選)(5)其他(請說明),
,famevic17,一.39.孩子住家是否有室內空間能讓這孩子活動?,
,famevic1701,一.39.1.孩子住家的室內空間有哪些場地或活動設施?(複選)(1)可讓孩子抓握(攀爬或懸吊)的器材,
,famevic1702,一.39.1.孩子住家的室內空間有哪些場地或活動設施?(複選)(2)樓梯(至少有兩階),
,famevic1703,一.39.1.孩子住家的室內空間有哪些場地或活動設施?(複選)(3)可爬上爬下的器材或傢俱(沙發、椅子等),
,famevic1704,一.39.1.孩子住家的室內空間有哪些場地或活動設施?(複選)(4)專門的遊戲室(只提供孩子玩耍的房間，臥室不算),
,famevic1705,一.39.1.孩子住家的室內空間有哪些場地或活動設施?(複選)(5)專門放玩具的地方且孩子隨時可拿來玩(箱子、抽屜等),
,famevic1706,一.39.1.孩子住家的室內空間有哪些場地或活動設施?(複選)(6)其他,
,famevic1706a,一.39.1.孩子住家的室內空間有哪些場地或活動設施?(複選)(6)其他(請說明),
,famedu01,二.1.我現在嚴厲的管教，孩子將來會感激,
,famedu02,二.2.我責罵或批評孩子，會讓孩子進步,
,famedu03,二.3.孩子不聽話時，應該被我處罰,
,famedu04,二.4.孩子遇到我時，應該要主動跟我打招呼,
,famedu05,二.5.我與孩子說話時，孩子應該專心的看著我,
,famedu06,二.6.我應該要求孩子好還要更好，使他進步,
,famedu07,二.7.只有孩子表現良好學習成果，我才有成就感,
,famedu08,二.8.我該告訴孩子，他行為不恰當時應該感到丟臉,
,famedu09,二.9.我應該為孩子在外面沒規矩而感到丟臉,
,famedu10,二.10.我在戒孩子吸奶嘴時，應該採取強硬的立場(或做法),
,famedu11,二.11.我應該對孩子進行嚴格的大小便訓練,
,famedu12,二.12.我應該讓孩子做任何他想做的事,
,famedu13,二.13.我覺得我有能力教好孩子,
,famedu1401,二.14.您認為這個年紀的孩子，最重要的學習是什麼?最重要,
,famedu1401a,二.14.您認為這個年紀的孩子，最重要的學習是什麼?最重要：其他(請說明),
,famedu1402,二.14.您認為這個年紀的孩子，最重要的學習是什麼?次之,
,famedu1402a,二.14.您認為這個年紀的孩子，最重要的學習是什麼?次之：其他(請說明),
,famedu1403,二.14.您認為這個年紀的孩子，最重要的學習是什麼?再次之,
,famedu1403a,二.14.您認為這個年紀的孩子，最重要的學習是什麼?再次之：其他(請說明),
,fammar04,三.1.我會偏愛這個孩子[只有1個小孩者，請選「不適答」],
,fammar05,三.2.我帶的孩子們會相互照顧與分享(例如：分享玩具、一起遊戲)[只有1個小孩者，請選「不適答」],
,fammar06,三.3.我帶的孩子們常常有衝突(例如：搶玩具、告狀)[只有1個小孩者，請選「不適答」],
,caregiverm01,四.男方照顧孩子親友的親職參與：1.照顧這孩子的衣食等生活基本需求,
,caregiverm02,四.男方照顧孩子親友的親職參與：2.教這孩子生活常規,
,caregiverm03,四.男方照顧孩子親友的親職參與：3.幫助這孩子的學習活動,
,caregiverm04,四.男方照顧孩子親友的親職參與：4.關愛與回應這孩子,
,caregiverm05,四.男方照顧孩子親友的親職參與：5.陪這孩子玩,
,caregiverf01,四.女方照顧孩子親友的親職參與：1.照顧這孩子的衣食等生活基本需求,
,caregiverf02,四.女方照顧孩子親友的親職參與：2.教這孩子生活常規,
,caregiverf03,四.女方照顧孩子親友的親職參與：3.幫助這孩子的學習活動,
,caregiverf04,四.女方照顧孩子親友的親職參與：4.關愛與回應這孩子,
,caregiverf05,四.女方照顧孩子親友的親職參與：5.陪這孩子玩,
